Date,year,month,week,X24hAverage,Ask,Bid,Last,TotalVolume,numberOfTransactions,nTweets,nNewsReuters,nNewsCryptocoin,searchInterest,nTweetsTopUser
2016-05-06,2016,5,19,453.51,461.94,461.44,461.82,71608.96,234947,NA,2,0,19,NA
2016-05-05,2016,5,19,449.31,450.02,449.74,449.89,42764.87,235888,NA,6,0,19,NA
2016-05-04,2016,5,18,449.32,448.73,448.15,448.38,42114.3,229102,NA,0,0,31,NA
2016-05-03,2016,5,18,447.93,452.33,451.85,452.18,53282.65,237501,NA,3,1,31,NA
2016-05-02,2016,5,18,448,445.9,445.23,445.59,76525.26,214077,NA,12,0,31,NA
2016-05-01,2016,5,18,452.87,454.26,453.69,454.01,23224.58,191715,NA,0,0,31,NA
2016-04-30,2016,4,18,454.88,450.91,450.54,450.84,37474.66,228751,NA,0,0,31,NA
2016-04-29,2016,4,18,451.88,455.91,455.64,455.82,46612.85,258690,NA,1,2,31,NA
2016-04-28,2016,4,18,445.8,449.09,448.8,448.93,85355.56,251379,NA,1,0,31,NA
2016-04-27,2016,4,17,461.92,449.34,448.82,448.96,92342.27,239439,NA,0,1,19,NA
2016-04-26,2016,4,17,465.91,467.79,467.46,467.52,74809.78,245757,NA,5,0,19,NA
2016-04-25,2016,4,17,460.32,465.46,464.93,465.03,79983.48,208387,NA,2,1,19,NA
2016-04-24,2016,4,17,455.53,460.08,459.67,459.9,64438.42,181171,NA,0,0,19,NA
2016-04-23,2016,4,17,449.13,453.11,452.85,452.99,37411.6,190118,NA,0,0,19,NA
2016-04-22,2016,4,17,447.73,447.55,447.4,447.52,53255.85,213507,NA,0,1,19,NA
2016-04-21,2016,4,17,445.28,450.88,450.54,450.76,66253.3,213800,NA,2,0,19,NA
2016-04-20,2016,4,16,438.98,442.71,442.48,442.68,80876.64,222194,NA,1,2,17,NA
2016-04-19,2016,4,16,432.35,436.06,435.72,435.9,41449.89,227795,NA,0,2,17,NA
2016-04-18,2016,4,16,429.76,430.79,430.34,430.63,41173.92,203165,NA,0,3,17,NA
2016-04-17,2016,4,16,431.93,429.2,428.92,429.07,29386.22,191478,NA,0,0,17,NA
2016-04-16,2016,4,16,432.86,433.13,432.94,433.07,31854.69,192621,NA,0,0,17,NA
2016-04-15,2016,4,16,429.06,431.07,430.91,431,53325.62,216850,NA,0,0,17,NA
2016-04-14,2016,4,16,426.21,424.15,423.85,424.02,30435.02,230281,NA,0,2,17,NA
2016-04-13,2016,4,15,425.5,424.31,423.94,424.12,38460.14,222711,NA,2,1,17,NA
2016-04-12,2016,4,15,426.15,426.37,426.11,426.18,60584.56,240200,NA,8,0,17,NA
2016-04-11,2016,4,15,422.91,424.67,424.47,424.62,37352.56,217378,NA,0,0,17,NA
2016-04-10,2016,4,15,422.23,422.61,422.3,422.43,22977.98,181662,NA,0,0,17,NA
2016-04-09,2016,4,15,419.26,420.23,420.07,420.17,29842.6,207555,NA,0,0,17,NA
2016-04-08,2016,4,15,423.97,420.76,420.36,420.55,47613.36,215441,NA,0,1,17,NA
2016-04-07,2016,4,15,423.71,422.96,422.77,422.82,40190.14,219915,NA,0,1,17,NA
2016-04-06,2016,4,14,424.68,424.33,424.21,424.14,36985.81,218585,NA,9,0,17,NA
2016-04-05,2016,4,14,423.85,424.17,423.92,424.02,42855.01,216684,NA,0,4,17,NA
2016-04-04,2016,4,14,420.61,421.69,421.4,421.5,36971.72,200979,NA,0,0,17,NA
2016-04-03,2016,4,14,421.45,421.76,421.46,421.67,25213.27,176722,NA,0,0,17,NA
2016-04-02,2016,4,14,421.46,420.8,420.62,420.71,32471.25,196651,NA,0,0,17,NA
2016-04-01,2016,4,14,417.76,418.11,417.8,417.94,39279.54,203811,NA,2,0,17,NA
2016-03-31,2016,3,14,417.46,418.31,418.07,418.23,45054.59,208976,NA,1,0,17,NA
2016-03-30,2016,3,13,415.11,415.08,414.79,414.88,48120.59,207906,NA,0,0,17,NA
2016-03-29,2016,3,13,420.9,417.33,417.01,417.13,72262.58,191841,NA,0,0,17,NA
2016-03-28,2016,3,13,424.77,425.01,424.73,424.85,45291.15,181300,NA,0,0,17,NA
2016-03-27,2016,3,13,422.48,425.31,425.19,425.28,60202.83,161486,NA,3,0,17,NA
2016-03-26,2016,3,13,421.05,418.91,418.56,418.84,29382.13,162398,NA,1,0,17,NA
2016-03-25,2016,3,13,420.86,419.27,419.03,419.1,35238,173609,NA,0,2,17,NA
2016-03-24,2016,3,13,419.98,418.02,417.81,417.94,41755.66,194985,NA,0,4,17,NA
2016-03-23,2016,3,12,420.12,420.76,420.55,420.67,40216.59,187877,NA,0,0,16,NA
2016-03-22,2016,3,12,418.88,419.06,418.85,418.91,51006.62,210488,NA,0,2,16,NA
2016-03-21,2016,3,12,411.87,414.49,414.28,414.49,44211.31,189228,NA,0,2,16,NA
2016-03-20,2016,3,12,413.48,414.25,413.89,414.07,32834.29,175963,NA,0,0,16,NA
2016-03-19,2016,3,12,410.67,410.31,410.11,410.22,36542.79,188863,NA,0,0,16,NA
2016-03-18,2016,3,12,417.15,410.34,410.03,410.15,67299.35,203578,NA,1,3,16,NA
2016-03-17,2016,3,12,421.7,422.49,422.24,422.35,44242.37,206973,NA,0,1,16,NA
2016-03-16,2016,3,11,419.49,419.71,419.38,419.43,46292.11,215973,NA,1,2,17,NA
2016-03-15,2016,3,11,419.17,418.65,418.4,418.5,49138.15,197677,NA,6,2,17,NA
2016-03-14,2016,3,11,415.91,417.21,416.9,417.24,48765.48,187401,NA,0,0,17,NA
2016-03-13,2016,3,11,415.06,414.49,414.08,414.25,35430.64,141116,NA,0,1,17,NA
2016-03-12,2016,3,11,416.61,412.16,411.75,412.06,59589.02,175428,NA,0,0,17,NA
2016-03-11,2016,3,11,421.82,422.27,422.03,422.29,59996.34,193874,NA,0,0,17,NA
2016-03-10,2016,3,11,416.55,418.63,418.4,418.58,57669.22,192611,NA,0,0,17,NA
2016-03-09,2016,3,10,414.65,415.32,414.97,415.46,47203.55,187623,NA,1,2,17,NA
2016-03-08,2016,3,10,415.34,414.27,414.06,414.27,52519.4,193929,NA,2,0,17,NA
2016-03-07,2016,3,10,410.59,415.06,414.77,415.04,62773.54,183530,NA,1,3,17,NA
2016-03-06,2016,3,10,404.88,407.09,406.82,407.05,60091.99,171486,NA,1,0,17,NA
2016-03-05,2016,3,10,404.31,399.26,398.94,399.26,125904.3,238117,NA,0,0,17,NA
2016-03-04,2016,3,10,421.22,410.43,410.01,410.09,75976.31,212104,NA,1,2,17,NA
2016-03-03,2016,3,10,422.5,421.4,421.05,421.18,79221.49,221257,NA,2,2,17,NA
2016-03-02,2016,3,9,433.67,424.48,423.93,424.37,60944.32,276448,NA,1,0,18,NA
2016-03-01,2016,3,9,436.22,436.14,435.83,436.18,70927.22,260619,NA,1,0,18,NA
2016-02-29,2016,2,9,437.76,438.14,437.79,438.2,71632.02,265695,NA,1,1,18,NA
